epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,4005.11,0.27929,0.25836,0.89379,0.95256,0.86811,0.96269,0.94383,0.15359,0.28631,0.8019,0.000594125,0.000594125,0.000594125
55,4079.22,0.2773,0.24942,0.89458,0.92909,0.89715,0.96121,0.93859,0.1622,0.29655,0.80077,0.00058175,0.00058175,0.00058175
56,4153.24,0.26347,0.24347,0.88589,0.95162,0.91046,0.94978,0.92606,0.16082,0.30932,0.79996,0.000569375,0.000569375,0.000569375
57,4227.04,0.27491,0.24773,0.89252,0.94891,0.90705,0.96532,0.9439,0.14611,0.28533,0.79818,0.000557,0.000557,0.000557
58,4301.09,0.26226,0.23808,0.88882,0.9641,0.90825,0.96326,0.94153,0.15163,0.24043,0.79831,0.000544625,0.000544625,0.000544625
59,4373.85,0.26222,0.23678,0.88728,0.90458,0.92809,0.96218,0.93662,0.15846,0.29843,0.80022,0.00053225,0.00053225,0.00053225
60,4439.99,0.2681,0.24687,0.89148,0.9828,0.92398,0.94903,0.9295,0.15722,0.23078,0.80423,0.000519875,0.000519875,0.000519875
61,4505.08,0.26633,0.239,0.89065,0.96833,0.91956,0.94969,0.93157,0.16259,0.26899,0.80462,0.0005075,0.0005075,0.0005075
62,4570.12,0.27515,0.2392,0.88584,0.97608,0.92543,0.95671,0.92926,0.16143,0.21723,0.80615,0.000495125,0.000495125,0.000495125
63,4635.25,0.26357,0.23172,0.88996,0.96121,0.90009,0.95402,0.93451,0.14516,0.26248,0.8017,0.00048275,0.00048275,0.00048275
64,4700.76,0.25258,0.22852,0.88458,0.9753,0.90337,0.95616,0.9368,0.14952,0.24635,0.80261,0.000470375,0.000470375,0.000470375
65,4766.32,0.24368,0.22736,0.88228,0.90809,0.91223,0.95155,0.93379,0.14377,0.345,0.79689,0.000458,0.000458,0.000458
66,4832.07,0.25685,0.23438,0.88839,0.95534,0.914,0.9579,0.93812,0.15935,0.28096,0.80441,0.000445625,0.000445625,0.000445625
67,4897.64,0.24588,0.22514,0.88476,0.9529,0.90557,0.96891,0.94596,0.16033,0.24779,0.8062,0.00043325,0.00043325,0.00043325
68,4963.51,0.24056,0.21324,0.87764,0.93159,0.91644,0.95162,0.92875,0.15465,0.33247,0.79959,0.000420875,0.000420875,0.000420875
69,5029.39,0.23991,0.20789,0.87518,0.96564,0.91656,0.94592,0.92914,0.14255,0.24862,0.7979,0.0004085,0.0004085,0.0004085
70,5094.95,0.254,0.21858,0.88446,0.97723,0.90136,0.95323,0.9358,0.15203,0.28167,0.80644,0.000396125,0.000396125,0.000396125
71,5160.73,0.24928,0.21867,0.87217,0.95773,0.91899,0.94645,0.92911,0.13675,0.25165,0.7998,0.00038375,0.00038375,0.00038375
72,5225.99,0.24152,0.21055,0.87506,0.95604,0.92187,0.9493,0.93571,0.13277,0.18207,0.79457,0.000371375,0.000371375,0.000371375
73,5291.2,0.24414,0.21239,0.87537,0.95543,0.90955,0.95623,0.93589,0.14516,0.25538,0.79965,0.000359,0.000359,0.000359
74,5356.21,0.24723,0.2107,0.88487,0.99478,0.92596,0.94945,0.92948,0.13282,0.1322,0.80026,0.000346625,0.000346625,0.000346625
75,5421.46,0.23525,0.20486,0.87468,0.98381,0.90719,0.94627,0.92655,0.13132,0.12624,0.79564,0.00033425,0.00033425,0.00033425
76,5486.63,0.24102,0.20691,0.87507,0.9741,0.92098,0.95826,0.93578,0.14941,0.1998,0.80271,0.000321875,0.000321875,0.000321875
77,5551.73,0.23077,0.19831,0.86856,0.99302,0.90692,0.95821,0.94043,0.14364,0.18567,0.80054,0.0003095,0.0003095,0.0003095
78,5617.06,0.23044,0.19616,0.86368,0.96963,0.90491,0.9522,0.93648,0.13297,0.20304,0.79692,0.000297125,0.000297125,0.000297125
79,5682.35,0.23992,0.19996,0.87614,0.97764,0.90387,0.96397,0.94313,0.14504,0.23238,0.80388,0.00028475,0.00028475,0.00028475
80,5747.52,0.24064,0.20085,0.87497,0.97108,0.90538,0.94243,0.92678,0.13548,0.23804,0.80054,0.000272375,0.000272375,0.000272375
81,5812.76,0.23083,0.19558,0.86737,0.95566,0.90839,0.94864,0.93064,0.14032,0.24711,0.80145,0.00026,0.00026,0.00026
82,5877.86,0.23778,0.19358,0.87575,0.99583,0.91254,0.94992,0.93226,0.13679,0.14241,0.80026,0.000247625,0.000247625,0.000247625
83,5943.1,0.23025,0.19071,0.86938,0.95571,0.8993,0.94648,0.92639,0.13527,0.26019,0.80075,0.00023525,0.00023525,0.00023525
84,6008.24,0.22699,0.19038,0.87715,0.96901,0.90489,0.9453,0.92857,0.14554,0.1826,0.80679,0.000222875,0.000222875,0.000222875
85,6073.51,0.21763,0.17997,0.86408,0.95062,0.91722,0.94634,0.92809,0.13831,0.19119,0.80195,0.0002105,0.0002105,0.0002105
86,6138.72,0.22459,0.18744,0.86537,0.94738,0.91437,0.94677,0.92995,0.13521,0.1955,0.80221,0.000198125,0.000198125,0.000198125
87,6203.96,0.22693,0.19052,0.87309,0.95592,0.92196,0.95135,0.93137,0.13842,0.24203,0.8013,0.00018575,0.00018575,0.00018575
88,6269.06,0.2155,0.18041,0.86868,0.97023,0.90607,0.94447,0.92884,0.13403,0.26023,0.7982,0.000173375,0.000173375,0.000173375
89,6334.05,0.20597,0.17774,0.86355,0.96766,0.89935,0.94494,0.92788,0.13543,0.24777,0.79827,0.000161,0.000161,0.000161
90,6399.23,0.21005,0.1773,0.8654,0.95092,0.90978,0.94315,0.92631,0.13546,0.25869,0.79931,0.000148625,0.000148625,0.000148625
91,6485.76,0.17983,0.14461,0.80933,0.96156,0.90806,0.94867,0.93259,0.13088,0.23983,0.79884,0.00013625,0.00013625,0.00013625
92,6551.02,0.17889,0.14304,0.8164,0.95714,0.91859,0.95245,0.93592,0.13259,0.21957,0.79661,0.000123875,0.000123875,0.000123875
93,6616.29,0.17475,0.14324,0.80912,0.94031,0.8948,0.952,0.93645,0.13306,0.24643,0.79474,0.0001115,0.0001115,0.0001115
94,6681.4,0.16959,0.13555,0.80807,0.95533,0.92072,0.94745,0.92988,0.13663,0.23112,0.80016,9.9125e-05,9.9125e-05,9.9125e-05
95,6746.48,0.17108,0.13568,0.81306,0.93415,0.92317,0.95118,0.93523,0.12882,0.221,0.79503,8.675e-05,8.675e-05,8.675e-05
96,6811.72,0.16387,0.13443,0.79751,0.94071,0.91959,0.95002,0.93367,0.12765,0.21972,0.79566,7.4375e-05,7.4375e-05,7.4375e-05
97,6876.84,0.16432,0.13339,0.80262,0.95298,0.92317,0.94728,0.93011,0.12837,0.21655,0.79515,6.2e-05,6.2e-05,6.2e-05
98,6941.95,0.16475,0.13109,0.80294,0.96319,0.89027,0.94633,0.9278,0.12755,0.22946,0.79587,4.9625e-05,4.9625e-05,4.9625e-05
99,7007.12,0.16019,0.1302,0.80143,0.93178,0.91318,0.9457,0.93009,0.12765,0.23533,0.79618,3.725e-05,3.725e-05,3.725e-05
100,7072.24,0.1567,0.12635,0.79814,0.93206,0.91171,0.94626,0.9281,0.12402,0.2291,0.79445,2.4875e-05,2.4875e-05,2.4875e-05
